"index" "college" "visits" "amount"
"780" "Gainesville " 0 0
"781" "University of North Georgia Gainesville Campus" 0 0
"782" "Brenau University" 0 0
"783" "Glennville " 0 0
"784" "Southeastern Technical College" 0 0
"785" "Kennesaw " 0 0
"786" "Kennesaw State University" 0 0
"787" "Lawrenceville " 0 0
"788" "Georgia Gwinnett College" 0 0
"789" "Gwinnett Technical College" 0 0
"790" "Madison " 0 0
"791" "Georgia Military College Madison Campus" 0 0
"792" "Macon " 0 0
"793" "Mercer University" 0 0
"794" "Middle Georgia State University" 0 0
"795" "Wesleyan College" 0 0
"796" "Central Georgia Technical College" 0 0
"797" "Fort Valley State University - satellite campus" 0 0
"798" "Georgia College & State University - satellite campus" 0 0
"799" "Milledgeville " 0 0
"800" "Georgia College & State University" 0 0
"801" "Georgia Military College" 0 0
"802" "Monroe" 34 1261.65
"803" "Mount Vernon " 0 0
"804" "Brewton-Parker College" 0 0
"805" "Oxford " 0 0
"806" "Oxford College" 0 0
"807" "Rome " 0 0
"808" "Berry College" 0 0
"809" "Shorter University" 0 0
"810" "Savannah " 0 0
"811" "Armstrong Atlantic State University" 0 0
"812" "Savannah State University" 0 0
"813" "Savannah College of Art and Design" 0 0
"814" "Savannah Law School" 0 0
